04-03-2020	17:34:04	Kernel.Notice	
04-03-2020	17:34:42	Kernel.Notice	10.65.60.196	DEVIP=10.65.60.196 Type=SYSTEM_STATUS TIME=2020-04-03 17:34:44 LINKNUM=1247 CPU=2.400000 DISK=45.689209 MEM=34.112747 NET=1 NETFLOW=18184 DEVSTATUS=0 DESCR= ISOUT=0
04-03-2020	17:34:41	Kernel.Notice	10.65.60.196	DEVIP=10.65.60.196 Type=Manage TIME=2020-04-03 17:34:45 USER=superman EVENT=(null) RESULT=成功 REMARK=应用系统基本设置操作
04-03-2020	17:34:34	Kernel.Notice	10.65.60.196	DEVIP=10.65.60.196 Type=SYSTEM_STATUS TIME=2020-04-03 17:34:35 LINKNUM=2 CPU=0.250000 DISK=40.423332 MEM=30.068600 NET=1 NETFLOW=9288 DEVSTATUS=0 DESCR= ISOUT=1
04-03-2020	17:34:32	Kernel.Notice	10.65.60.196	DEVIP=10.65.60.196 Type=SYSTEM_STATUS TIME=2020-04-03 17:34:34 LINKNUM=1247 CPU=2.620968 DISK=45.689209 MEM=34.113781 NET=1 NETFLOW=14864 DEVSTATUS=0 DESCR= ISOUT=0
04-03-2020	17:34:24	Kernel.Notice	10.65.60.196	DEVIP=10.65.60.196 Type=SYSTEM_STATUS TIME=2020-04-03 17:34:25 LINKNUM=2 CPU=0.277218 DISK=40.423332 MEM=30.069426 NET=1 NETFLOW=17656 DEVSTATUS=0 DESCR= ISOUT=1
04-03-2020	17:34:21	Kernel.Notice	10.65.60.196	DEVIP=10.65.60.196 Type=SYSTEM_STATUS TIME=2020-04-03 17:34:24 LINKNUM=1247 CPU=3.224206 DISK=45.689209 MEM=34.119354 NET=1 NETFLOW=18544 DEVSTATUS=0 DESCR= ISOUT=0
04-03-2020	17:34:14	Kernel.Notice	10.65.60.196	DEVIP=10.65.60.196 Type=SYSTEM_STATUS TIME=2020-04-03 17:34:15 LINKNUM=2 CPU=0.300000 DISK=40.423332 MEM=30.069220 NET=1 NETFLOW=16792 DEVSTATUS=0 DESCR= ISOUT=1
04-03-2020	17:34:13	Kernel.Notice	10.65.60.196	DEVIP=10.65.60.196 Type=Manage TIME=2020-04-03 17:34:17 USER=superman EVENT=(null) RESULT=成功 REMARK=用户操作超时自动退出
04-03-2020	17:34:11	Kernel.Notice	10.65.60.196	DEVIP=10.65.60.196 Type=SYSTEM_STATUS TIME=2020-04-03 17:34:14 LINKNUM=1247 CPU=3.050000 DISK=45.689209 MEM=34.132351 NET=1 NETFLOW=17272 DEVSTATUS=0 DESCR= ISOUT=0
04-03-2020	17:34:04	Kernel.Notice	10.65.60.196	DEVIP=10.65.60.196 Type=SYSTEM_STATUS TIME=2020-04-03 17:34:05 LINKNUM=3 CPU=0.375000 DISK=40.423332 MEM=30.069838 NET=1 NETFLOW=4248 DEVSTATUS=0 DESCR= ISOUT=1
04-03-2020	17:34:01	Kernel.Notice	10.65.60.196	DEVIP=10.65.60.196 Type=SYSTEM_STATUS TIME=2020-04-03 17:34:04 LINKNUM=1247 CPU=2.746976 DISK=45.689209 MEM=34.158360 NET=1 NETFLOW=15976 DEVSTATUS=0 DESCR= ISOUT=0
04-03-2020	17:33:54	Kernel.Notice	10.65.60.196	DEVIP=10.65.60.196 Type=SYSTEM_STATUS TIME=2020-04-03 17:33:55 LINKNUM=3 CPU=3.227459 DISK=40.423332 MEM=30.079948 NET=1 NETFLOW=35704 DEVSTATUS=0 DESCR= ISOUT=1
